,business_id,stars
0,MTSW4McQd7CbVtyjqoe9mw,4.0
1,CF33F8-E6oudUQ46HnavjQ,2.0
2,bBDDEgkFA1Otx9Lfe7BZUQ,1.5
3,eEOYSgkmpB90uNA7lDOMRA,4.0
4,il_Ro8jwPlHresjw9EGmBg,2.5
5,MUTTqe8uqyMdBl186RmNeA,4.0
6,ROeacJQwBeh05Rqg7F6TCg,4.5
7,kfNv-JZpuN6TVNSO6hHdkw,4.0
8,9OG5YkX1g2GReZM0AskizA,2.5
9,sqSqqLy0sN8n2IZrAbzidQ,3.5
10,kV_Q1oqis8Qli8dUoGpTyQ,3.5
11,ljxNT9p0y7YMPx0fcNBGig,3.0
12,ABxoFuzZy5mqQ8C5FJJajQ,5.0
13,seKihQKpGGnCeLuELRQPSQ,3.5
14,IDtLPgUrqorrpqSLdfMhZQ,4.0
15,LhpPSrulqVeTyJeK2xydvQ,4.5
16,oaboaRBUgGjbo2kfUIKDLQ,4.5
17,RK6-cJ9hj53RzOlCBmpT-g,5.0
18,knQ4vIgx-r85kjlWVVjcpQ,4.5
19,EuRGgOwJ0g1vTj2R04j37Q,2.5
20,TLZ3-eDPLhUzfsWO4ad6Ug,4.0
21,vje0KIiE7vtpx7JzmBx5LQ,4.0
22,VrGxoSNZfSiT-G4OqRRGIw,4.0
23,VZzivJEbmHItOxNXJB3SpA,2.5
24,3BJxm-HnvzdwD1zjmSbmyQ,3.0
25,9C2rpb56aQvW0ViZHK9sPw,3.5
26,aNtKyc2rr-uK5cqzY9TVQQ,3.0
27,X_E7U2lVNEwbH_gpOBmAHQ,4.0
28,G4lRmwDHdvhZAhmtlsYYBw,1.5
29,BxhkoR6cscJwwex8gx31OA,3.5
30,Ms5xG8i4p80KSMcF3tt4ug,4.0
31,QjV4v7q_pt7tt3K1US7IHg,3.0
32,59jkCUm4yHciKL1KW_1HJA,2.5
33,yM8LlTInbQH4FwWC97lz6w,1.5
34,CtMEJxpVMlNzFpB4PtFjfA,4.0
35,O1oZpbZNDMH_gz8DhsZCdA,1.5
36,vPcfJ3rm3NpdqVDod2WxLA,1.5
37,pmuuoDqNZp7518AUd-YmPA,3.5
38,tSFXJ0GFl5iUdy021YgWLw,5.0
39,Dtuf4vD0znzwJW9vk3iTNw,4.0
40,Ucl9Vo5lwrUmYbV8Dv8X5g,4.0
41,Y6heWJJ9AmEL58fZwgi9YQ,4.0
42,bTve2mwLk5Zc01vRKqc2KQ,4.5
43,uDQgmudYDKiB6n4vwbEeDg,4.5
44,VVvUBlc_WIEb8obKGq39dA,4.5
45,py5aKmlTB2NarfsfcOpHOQ,2.5
46,wZhGuW7vQpfhxeEvLHkTrA,4.5
47,YR0nwxBOKk6DiLHNItfsBQ,3.5
48,n8ecak12IF_jhnPNs37AZA,4.5
49,_T0cPZE2ZJOTTlYYKMP64Q,4.5
50,1dSKEitDDgIkaApe6UNMSA,5.0
51,Pr_Mlt9FqdcW7WCFGJmozA,4.5
52,zVlhs7BVaouutt-rles-YA,4.5
53,1E9o1SNo7UTf1XHTFPv1_Q,4.5
54,FF45pKN_lzqG8Bqk-_HQvw,4.5
55,bDAlJYMIzwOewIThe2IZjQ,4.0
56,SRexiuEsx1d9-dZVUsssQA,3.5
57,xJyp6RLqNRv3tSu6njPKxQ,3.0
58,1P_mGUY1PyPq7_ZabrzpBw,4.0
59,XwoXi0M66RU6Gouq-DSDHw,4.0
60,0DbIUh_Xuj6H5B_SF0RLCQ,4.0
61,bSJczuohHVko33UT82hnfA,4.0
62,rmHgqdVkLsGN2byesWRo0w,3.5
63,JfGfqCnk0-Tnf6PlahPUJQ,4.0
64,aNXw3PkXVt8ANwLyCfcmpg,1.5
65,dChRGpit9fM_kZK5pafNyA,4.0
66,od6skmfXz9twktEAuJHEmw,4.0
67,j9Kaj_6tSeXmVMYCgZithg,4.5
68,EIlFs8kybcG-l60GJjNUIA,2.5
69,QWqKTWQ2OiDgo3dzNkpung,4.5
70,Wt1W6qwCvna1KzIuJRJbwA,4.0
71,ifjluUv4VASwmFqEp8cWlQ,4.0
72,bPPy7yNFfb-6N_bHkn1qAw,3.0
73,516L9-ZWyqVgzqjP5uW7Jg,4.0
74,iEC0VzHM2hQ13wM7c0QwgQ,3.5
75,OlD8UoHqrKnLoZUFxuas_w,2.5
76,D7z_V6E8cxXghSRcHAmUPg,4.0
77,gb7JjRJtzWDsIWpJihZhBQ,2.0
78,JPm93BlP-UHYPqFgK66JUw,4.5
79,VeFfrEZ4iWaecrQg6Eq4cg,4.0
80,hsyIDX4x4ndYEvPoJF6_1g,4.5
81,rR30b1XWbxZFFgLyGbfNAw,4.5
82,4QFqi8w3rlZTcc5LXKyPJw,4.0
